#ARTIST:Sido
#TITLE:Schlechtes Vorbild
#CREATOR:TrollZor
#BPM:388
#YEAR:2006
#VIDEO:v=9jjvlT78pU4
#LANGUAGE:German
#GAP:-22,917525773195962
#ALLKARAOKE_ID:sido-schlechtes-vorbild
#ALLKARAOKE_SID:3950
#ALLKARAOKE_LASTUPDATE:2025-01-19T00:12:29.353Z
#ALLKARAOKE_ARTISTORIGIN:DE
#ALLKARAOKE_REALBPM:97
#ALLKARAOKE_VOLUME:0,88
#ALLKARAOKE_OLDVOLUME:0,76
#MP3:Sido - Schlechtes Vorbild.mp3
#COVER:Sido - Schlechtes Vorbild [CO].jpg
#BACKGROUND:Sido - Schlechtes Vorbild [BG].jpg
R 3804 5 0 ist?
- 3809
R 3818 3 0 Wenn 
R 3822 5 0 nichts 
R 3828 5 0 schön 
R 3834 5 0 ist, 
R 3840 3 0 bin 
R 3844 3 0 ich 
R 3848 3 0 auch 
R 3852 5 0 nicht 
R 3860 5 0 häss
R 3868 6 0 lich
- 3874
R 3885 3 0 Seid 
R 3889 3 0 doch 
R 3893 5 0 ehr
R 3899 5 0 lich, 
R 3911 3 0 ihr 
R 3915 3 0 wart 
R 3919 3 0 doch 
R 3923 3 0 auch 
R 3927 3 0 mal 
R 3931 5 0 jung
- 3936
R 3942 3 0 Und 
R 3946 3 0 habt 
R 3950 3 0 ge
R 3954 5 0 kifft 
R 3962 3 0 oder 
R 3966 3 0 ~
R 3970 3 0 wo
R 3974 3 0 her 
R 3978 3 0 kommen 
R 3982 3 0 die 
R 3986 3 0 Rau
R 3990 3 0 cher
R 3994 3 0 lungen
- 3997
R 4004 3 0 Tut 
R 4008 3 0 nicht 
R 4012 3 0 so 
R 4016 3 0 als 
R 4020 3 0 wenn 
R 4024 3 0 ihr 
R 4028 3 0 En
R 4032 3 0 gel 
R 4036 3 0 wart 
R 4040 3 0 ihr 
R 4044 3 0 habt 
R 4048 3 0 Lei
R 4052 3 0 chen 
R 4056 3 0 im 
R 4060 3 0 Kel
R 4064 3 0 ler
- 4067
R 4072 3 0 Wie 
R 4076 3 0 je
R 4080 3 0 der 
R 4084 3 0 an
R 4088 3 0 de
R 4092 3 0 re, 
R 4100 3 0 al
R 4104 3 0 so 
R 4108 3 0 seid 
R 4112 3 0 lei
R 4116 3 0 se 
R 4120 3 0 ihr 
R 4124 3 0 Pen
R 4128 3 0 ner
- 4131
R 4136 3 0 Ver
R 4140 5 0 traut 
R 4148 3 0 eu
R 4152 3 0 er'm 
