#ARTIST:Diana King
#TITLE:Shy Guy
#CREATOR:RetroGirl
#BPM:376,17
#YEAR:1994
#VIDEO:v=szjaHbjhauk
#GENRE:Soundtrack
#LANGUAGE:English
#GAP:1893,1102958768643
#ALLKARAOKE_ID:diana-king-shy-guy
#ALLKARAOKE_SID:5046
#ALLKARAOKE_LASTUPDATE:2025-08-27T00:13:15.569Z
#ALLKARAOKE_ARTISTORIGIN:JM
#ALLKARAOKE_REALBPM:27
#ALLKARAOKE_SOURCEURL:Diana King - Shy Guy
#ALLKARAOKE_VOLUME:0,5
#MP3:Diana King - Shy Guy.mp3
: 3674 3 2 it 
: 3678 2 2 none 
: 3682 8 2 here 
: 3691 2 2 ah 
: 3694 2 2 make 
: 3698 3 2 me 
: 3702 6 2 eyes 
: 3711 3 -3 you
- 3714
: 3718 2 4 If 
: 3723 2 4 you 
: 3726 3 4 want 
: 3730 3 4 no 
: 3734 3 4 wan
: 3738 3 4 na 
: 3742 4 2 gem 
: 3750 2 2 me 
: 3754 3 2 no 
: 3758 4 2 wan
: 3763 1 2 na 
: 3766 3 2 see 
: 3771 3 -3 you
- 3774
: 3782 1 4 This 
: 3786 3 4 one 
: 3790 2 4 de
: 3793 3 4 di
: 3798 1 4 ca
: 3800 1 6 ~
: 3802 2 2 ted 
: 3806 3 2 to 
: 3810 6 2 one 
: 3817 2 2 the 
: 3822 6 2 shy 
: 3830 4 2 man 
: 3838 23 -3 dude
- 3861
: 3869 6 2 Shy 
: 3878 2 2 man 
: 3882 2 2 me 
: 3886 4 2 wan
: 3891 2 2 na 
: 3894 5 2 hear 
: 3902 4 6 yo
- 3906
: 3910 4 4 Full 
: 3918 2 4 of 
: 3922 3 4 you 
: 3926 1 4 wa
: 3928 1 6 ~nt 
: 3930 3 2 it 
: 3934 2 2 none 
: 3938 7 2 here 
: 3947 2 2 ah 
: 3950 2 2 make 
: 3954 3 2 me 
: 3958 6 2 eyes 
: 3966 3 -3 you
- 3969
: 3974 2 4 If 
: 3978 3 4 you 
: 3982 3 4 want 
: 3986 3 4 no 
: 3990 1 4 wa
: 3992 1 6 ~n
: 3994 3 4 na 
: 3999 3 2 gem 
: 4006 2 2 me 
: 4010 3 2 no 
: 4014 4 2 wan
: 4019 1 2 na 
: 4022 3 2 see 
: 4027 3 6 yo!
- 4030
: 4038 1 4 This 
: 4042 3 4 one 
: 4046 2 4 de
: 4049 3 4 di
: 4054 1 4 ca
: 4056 1 6 ~
: 4058 2 2 ted 
: 4062 3 2 to 
: 4066 7 2 one 
: 4074 2 2 the 
: 4078 6 2 shy 
: 4087 3 2 man 
: 4094 14 -3 dude
- 4108
: 4111 4 6 ’Cause 
: 4117 1 6 I
: 4119 1 7 ~
: 4121 4 9 ~ 
: 4127 5 9 don’t 
: 4135 3 9 want 
: 4143 4 14 some
: 4150 2 14 bo
: 4153 5 13 ~
: 4159 4 11 ~
: 4164 9 9 dy
- 4173
: 4176 1 6 Who’s 
: 4182 1 6 lo
: 4184 1 7 ~
: 4186 3 9 ~
: 4191 3 9 ving 
: 4199 3 9 eve
: 4206 4 14 ry
: 4214 2 14 bo
: 4217 5 13 ~
: 4223 4 11 ~
: 4228 5 9 dy
- 4233
: 4236 2 6 I 
: 4239 3 6 need 
: 4243 2 7 a 
: 4247 2 7 shy
: 4250 4 9 ~ 
: 4256 1 4 guy
: 4258 5 6 ~
: 4264 1 4 ~
- 4265
: 4270 2 2 He’s 
: 4275 1 2 the 
: 4278 4 9 kin
: 4283 2 9 da 
: 4286 2 4 guy
: 4289 5 6 ~
: 4295 2 4 ~
- 4297
: 4302 3 9 Who’ll 
: 4310 4 9 on
: 4319 3 11 ly 
: 4327 3 14 be 
: 4336 2 14 mi
: 4339 21 16 ~ne
- 4360
: 4365 1 11 Ah
: 4367 4 14 ~ 
: 4372 2 14 ah 
: 4375 8 13 ah 
: 4385 4 11 ah 
: 4390 11 9 ah
- 4401
: 4404 2 6 Ah 
: 4407 2 9 eh
: 4410 4 11 ~ 
: 4415 19 9 eh 
: 4435 3 6 ah 
: 4440 2 9 eh
: 4443 3 11 ~ 
: 4447 14 9 eh
- 4461
: 4475 2 6 I
: 4478 1 9 ~ 
: 4482 7 9 nee
: 4491 2 6 ~d 
: 4498 2 9 shy
: 4501 2 11 ~ 
: 4507 8 9 guy
- 4515
: 4539 2 6 I
: 4542 1 9 ~ 
: 4546 4 9 need 
: 4551 2 6 a 
: 4558 2 9 shy
: 4561 3 11 ~ 
: 4567 11 9 guy
- 4578 4589
- 4589
* 4614 17 9 Ah 
* 4632 2 14 ah
* 4635 2 16 ~
* 4638 19 18 ~ 
* 4658 3 16 ah
* 4662 3 14 ~
* 4666 17 16 ~ 
* 4685 2 14 ah
* 4688 3 11 ~
* 4692 1 9 ~
* 4694 1 11 ~ 
* 4698 20 9 ah 
* 4719 3 11 ah 
* 4725 2 9 ah
- 4727
: 4733 2 7 I
: 4736 3 9 ~ 
: 4740 9 9 need 
: 4750 2 6 a 
: 4755 8 6 shy 
: 4765 2 4 guy
: 4768 2 6 ~
: 4771 12 4 ~
- 4783
: 4799 1 7 I
: 4801 1 9 ~ 
: 4803 7 9 need 
: 4811 2 6 a 
: 4818 2 4 shy
: 4821 4 6 ~ 
: 4826 2 4 guy
: 4829 4 6 ~
: 4834 12 4 ~
- 4846 4861
- 4861
: 4886 2 11 Uh 
: 4889 14 14 oh 
: 4904 11 13 oh 
: 4916 10 11 oh 
: 4927 6 9 oh
- 4933
: 4951 2 11 Uh 
: 4954 8 14 oh 
: 4963 15 13 oh 
: 4979 10 11 oh 
: 4990 8 9 oh
- 4998
: 5022 1 6 I
: 5024 3 9 ~ 
: 5034 4 11 nee
: 5039 3 9 ~
: 5043 5 6 ~d 
: 5049 1 4 yeh
: 5051 3 6 ~
: 5055 13 4 ~ 
: 5069 4 4 yeh
: 5075 4 2 ~
- 5079 5121
- 5121
: 5146 2 9 I 
: 5151 3 9 don’t 
: 5158 3 9 want 
: 5166 4 14 no 
: 5174 8 13 fly
: 5183 2 11 ~ 
: 5187 15 9 guy
- 5202
: 5205 1 6 I
: 5207 2 8 ~
: 5210 2 9 ~ 
: 5214 4 9 just 
: 5222 7 9 want 
: 5230 4 14 a 
: 5239 2 14 shy
: 5242 7 16 ~ 
: 5256 3 11 guy
: 5260 2 9 ~
: 5263 3 9 ~
: 5267 11 9 ~
- 5278 5333
- 5333
: 5358 2 7 Oh
: 5361 11 9 ~
: 5373 2 6 ~
- 5375
: 5398 2 9 Shy
: 5401 3 11 ~ 
: 5406 7 9 guy, 
: 5422 2 9 shy
: 5425 4 11 ~ 
: 5431 9 9 guy, 
: 5447 2 9 shy
: 5450 3 11 ~ 
: 5455 11 9 guy
E
